Time,Capstan speed,Preform feed rate,Temperature,Tension,Preform Pressure,Diameter,Diameter X,Diameter Y
[min],[m/min],[mm/min],[ºC],[g],[mBar],[mm],[um],[um]
15.310244,11.408365,3.994588,200.153490,58.150783,-0.180672,296.000000,301.000000,294.000000
15.323568,11.484864,4.014972,200.153490,57.844837,0.329213,290.000000,294.000000,288.000000
15.336905,11.484864,4.009876,199.949490,55.014830,0.125259,304.000000,303.000000,300.000000
15.350206,11.484864,4.025164,200.051490,58.150783,-0.282649,298.000000,303.000000,298.000000
15.363605,11.408365,3.994588,200.153490,60.062950,-0.180672,298.000000,306.000000,300.000000
15.376891,11.306367,4.020068,200.153490,56.621050,0.431190,298.000000,299.000000,297.000000
15.390214,11.459364,4.025164,200.102490,54.632397,0.023282,296.000000,298.000000,296.000000
15.403558,11.459364,4.014972,199.847490,54.555911,0.227236,300.000000,299.000000,297.000000
15.416932,11.484864,4.025164,199.592489,55.626724,0.227236,300.000000,307.000000,301.000000
15.430263,11.459364,4.004780,199.490489,54.861857,0.125259,296.000000,298.000000,292.000000
15.443538,11.408365,4.004780,199.541489,56.697537,0.329213,292.000000,302.000000,292.000000
15.456903,11.357366,4.004780,199.694489,54.938344,0.125259,303.000000,304.000000,300.000000
15.470224,11.408365,4.009876,199.592489,54.861857,0.329213,303.000000,306.000000,300.000000
15.483571,11.306367,4.025164,199.745489,56.697537,0.125259,304.000000,306.000000,303.000000
15.496947,11.280867,4.014972,199.490489,53.944017,0.125259,299.000000,301.000000,298.000000
15.510223,11.280867,4.025164,199.592489,55.856184,-0.078695,295.000000,300.000000,296.000000
15.523583,11.306367,4.014972,199.337489,56.009157,0.023282,303.000000,301.000000,300.000000
15.536905,11.331866,4.025164,199.490489,55.626724,0.023282,303.000000,299.000000,299.000000
15.550250,11.382866,4.020068,199.286489,54.708884,0.227236,302.000000,306.000000,303.000000
15.563610,11.357366,4.020068,199.541489,53.867531,0.023282,293.000000,295.000000,291.000000
15.576919,11.408365,4.014972,199.439489,53.714557,0.329213,297.000000,300.000000,295.000000
15.590262,11.331866,4.025164,199.592489,52.720231,0.125259,299.000000,300.000000,296.000000
15.603569,11.382866,4.020068,199.337489,54.938344,0.023282,300.000000,298.000000,296.000000
15.616917,11.408365,4.004780,199.286489,52.949691,-0.078695,301.000000,301.000000,298.000000
15.630272,11.357366,3.999684,199.337489,54.938344,-0.180672,301.000000,303.000000,300.000000
15.643619,11.357366,4.004780,199.337489,54.096991,-0.180672,298.000000,300.000000,297.000000
15.656910,11.229868,4.030260,199.388489,53.791044,0.431190,300.000000,301.000000,298.000000
15.670244,11.306367,3.999684,199.439489,55.091317,0.125259,301.000000,303.000000,300.000000
15.683551,11.255368,4.025164,199.592489,54.708884,0.737121,300.000000,301.000000,299.000000
15.696997,11.357366,3.999684,199.337489,57.232943,0.227236,301.000000,302.000000,300.000000
15.710236,11.357366,3.999684,199.490489,55.091317,0.023282,300.000000,302.000000,299.000000
15.723542,11.255368,3.999684,199.490489,55.932670,0.431190,299.000000,299.000000,298.000000
15.736885,11.331866,4.009876,199.286489,55.856184,0.431190,301.000000,302.000000,299.000000
15.750224,11.382866,4.014972,199.337489,54.785370,0.533167,302.000000,303.000000,302.000000
15.763628,11.306367,4.009876,199.439489,56.697537,0.839098,302.000000,302.000000,301.000000
15.776894,11.382866,4.014972,199.337489,53.944017,0.227236,298.000000,299.000000,296.000000
15.790268,11.280867,4.014972,199.439489,55.856184,0.329213,296.000000,302.000000,297.000000
15.803547,11.484864,3.999684,199.337489,55.167804,0.329213,303.000000,303.000000,302.000000
15.816933,11.408365,4.014972,199.388489,55.932670,0.635144,302.000000,303.000000,301.000000
15.830294,11.408365,4.004780,199.439489,55.779697,0.431190,300.000000,301.000000,299.000000
15.843585,11.357366,4.020068,199.541489,53.867531,0.329213,299.000000,300.000000,299.000000
15.856909,11.382866,4.030260,199.439489,55.779697,0.941075,301.000000,301.000000,301.000000
15.870250,11.331866,4.009876,199.643489,53.867531,0.431190,302.000000,304.000000,302.000000
15.883586,11.459364,4.004780,199.388489,55.244290,0.635144,303.000000,303.000000,303.000000
15.896980,11.459364,3.999684,199.388489,54.020504,0.329213,303.000000,302.000000,301.000000
15.910268,11.433865,4.020068,199.592489,53.944017,0.533167,303.000000,303.000000,303.000000
15.923555,11.561363,3.999684,199.541489,55.014830,0.533167,302.000000,305.000000,303.000000
15.936889,11.484864,4.009876,199.643489,53.102664,0.125259,289.000000,288.000000,285.000000
15.950239,11.663361,4.009876,199.439489,55.932670,0.227236,307.000000,306.000000,305.000000
15.963639,11.510363,4.020068,199.643489,55.856184,0.635144,293.000000,292.000000,291.000000
15.976937,11.586862,4.014972,199.541489,56.926997,0.431190,305.000000,306.000000,306.000000
15.990242,11.586862,4.014972,199.490489,59.833490,0.227236,306.000000,307.000000,306.000000
16.003555,11.663361,3.999684,199.388489,57.921323,0.533167,299.000000,303.000000,299.000000
16.016981,11.867358,3.994588,199.388489,55.856184,0.533167,299.000000,303.000000,302.000000
16.030386,11.841858,4.004780,199.541489,54.861857,0.533167,294.000000,296.000000,295.000000
16.043586,11.739860,4.020068,199.592489,53.638071,0.839098,297.000000,304.000000,303.000000
16.056898,11.867358,4.025164,199.643489,51.725904,0.533167,300.000000,303.000000,301.000000
16.070235,11.867358,4.009876,199.490489,55.856184,1.043052,299.000000,304.000000,303.000000
16.083577,11.790859,4.014972,199.439489,57.079970,0.329213,304.000000,301.000000,304.000000
16.096968,11.841858,4.014972,199.439489,57.844837,0.227236,301.000000,300.000000,302.000000
16.110263,11.739860,4.020068,199.643489,57.921323,0.329213,302.000000,300.000000,302.000000
16.123593,11.790859,4.014972,199.643489,56.850510,0.227236,301.000000,296.000000,299.000000
16.136918,11.841858,3.999684,199.490489,57.003483,0.227236,297.000000,298.000000,298.000000
16.150285,11.739860,4.014972,199.643489,51.878878,0.533167,298.000000,298.000000,298.000000
16.163643,11.739860,4.009876,199.592489,54.938344,0.635144,298.000000,298.000000,298.000000
16.176894,11.790859,4.009876,199.694489,52.643744,0.635144,303.000000,301.000000,303.000000
16.190283,11.867358,3.999684,199.439489,56.162130,0.533167,301.000000,303.000000,302.000000
16.203578,11.841858,3.999684,199.388489,55.473750,0.533167,299.000000,298.000000,300.000000
16.216910,11.790859,4.009876,199.490489,56.850510,0.533167,296.000000,287.000000,293.000000
16.230309,11.739860,4.009876,199.541489,58.992136,0.737121,297.000000,304.000000,301.000000
16.243572,11.688861,4.014972,199.541489,56.544564,0.839098,301.000000,299.000000,302.000000
16.256907,11.663361,4.014972,199.388489,57.844837,0.329213,306.000000,299.000000,304.000000
16.270276,11.535863,4.025164,199.592489,54.708884,0.839098,296.000000,292.000000,295.000000
16.283588,11.612362,4.009876,199.439489,56.850510,0.737121,294.000000,304.000000,300.000000
16.296981,11.484864,4.025164,199.490489,55.703210,0.941075,300.000000,303.000000,302.000000
16.313757,11.433865,4.025164,199.643489,57.691863,0.839098,312.000000,307.000000,311.000000
16.326906,11.459364,4.014972,199.592489,57.768350,0.635144,308.000000,310.000000,310.000000
16.340247,11.535863,4.004780,199.541489,55.167804,0.431190,305.000000,299.000000,304.000000
16.353588,11.459364,4.030260,199.643489,53.944017,0.533167,302.000000,302.000000,303.000000
16.366907,11.688861,4.014972,199.490489,52.873204,0.431190,302.000000,302.000000,303.000000
16.380290,11.663361,4.014972,199.490489,54.938344,0.635144,293.000000,290.000000,290.000000
16.393577,11.816358,4.014972,199.337489,52.796717,0.227236,302.000000,306.000000,305.000000
16.406910,11.739860,4.014972,199.490489,56.774023,0.431190,304.000000,301.000000,302.000000
16.420243,11.867358,3.999684,199.388489,55.932670,0.839098,290.000000,282.000000,286.000000
16.433592,11.739860,4.020068,199.592489,57.691863,0.941075,305.000000,307.000000,307.000000
16.446988,11.816358,4.014972,199.439489,56.850510,0.737121,297.000000,301.000000,300.000000
16.460250,11.816358,4.014972,199.388489,53.714557,0.941075,289.000000,294.000000,293.000000
16.473571,11.765359,4.025164,199.286489,53.714557,0.941075,299.000000,303.000000,305.000000
16.486954,11.739860,4.025164,199.337489,50.731578,0.737121,296.000000,292.000000,296.000000
16.500282,11.637861,3.999684,199.133489,54.785370,0.635144,296.000000,298.000000,297.000000
16.513656,11.586862,4.025164,199.490489,51.878878,0.533167,286.000000,293.000000,290.000000
16.526968,11.663361,4.004780,199.184489,53.867531,0.635144,303.000000,299.000000,302.000000
16.540262,11.382866,4.020068,199.184489,52.873204,0.737121,288.000000,295.000000,291.000000
16.553580,11.382866,4.025164,199.439489,51.725904,0.839098,295.000000,284.000000,291.000000
